,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137
2014-01-13,,,,,288.96,30.48,27.77,29.43,32.55,,,,,,,50.68,459.56,16.29,103.15,363.61,262.36,20.97,,244.65,33.49,,,18.86,132.89,24.66,253.35,313.02,,,,79.81,,,191.41,,,1196.91,,,37.14,106.51,,,550403.21,331645.52,,22.86,199.57,50.78,80.35,74.67,314.58,,,39.05,52.03,28.31,26.84,20.48,18.59,,,,,128.98,1400.52,28.31,,,,104.58,19.56,,,,,,,,,,111.79,106.95,,16.64,26.67,16.62,15.71,,,,,,,,,27.87,,,43.42,91.28,,32.06,,214.4,37.68,,,,137.83,10.99,,247.13,1.12,,331.98,212.19,,15754.74,,275.17,,,35.94,,34.38,427.81,,,,,64.1,54.87
2014-01-20,,,,,288.39,30.51,27.82,29.46,32.58,,,,,,,50.71,464.37,16.29,103.15,363.61,262.36,20.98,,244.44,33.53,,,19.44,132.97,25.17,253.8,313.25,,,,80.02,,,191.64,,,1195.28,,,37.01,106.53,,,552274.68,331848.19,,23.69,199.71,50.8,80.32,74.42,315.64,,,39.18,52.2,28.59,26.81,20.5,18.6,,,,,126.79,1400.51,28.31,,,,104.61,19.57,,,,,,,,,,110.92,107.23,,16.68,26.67,16.62,15.69,,,,,,,,,27.93,,,43.41,91.63,,31.94,,214.13,37.75,,,,138.06,11.0,,247.92,1.12,,333.92,212.81,,15782.78,,275.16,,,35.98,,34.43,427.06,,,,,64.48,53.52
2014-01-27,,,,,287.37,30.52,27.83,29.48,32.59,,,,,,,50.75,467.75,16.29,103.12,363.58,262.28,20.98,,244.23,33.56,,,19.94,133.06,25.68,254.89,313.28,,,,80.04,,,191.66,,,1196.35,,,36.88,106.32,,,553459.6,332282.04,,24.28,200.03,50.76,80.41,74.29,316.8,,,39.28,52.29,28.87,26.79,20.53,18.57,,,,,123.75,1400.49,28.31,,,,104.78,19.66,,,,,,,,,,110.1,107.56,,16.67,26.67,16.62,15.69,,,,,,,,,27.9,,,43.35,92.13,,31.96,,213.9,37.83,,,,138.52,10.99,,248.13,1.12,,334.86,213.41,,15879.82,,275.13,,,35.96,,34.44,427.62,,,,,64.79,52.29
2014-02-03,,,,,292.16,30.61,28.35,29.49,32.61,,,,,,,51.98,475.9,16.15,102.63,363.3,262.18,20.41,,245.19,33.55,,,20.51,133.95,25.78,263.96,313.31,,,,80.11,,,190.36,,,1199.1,,,35.37,106.37,,,554316.36,324085.81,,24.61,199.97,50.9,81.0,73.79,317.48,,,39.36,52.45,28.89,26.98,20.68,18.57,,,,,125.36,1408.75,28.23,,,,104.36,19.54,,,,,,,,,,110.76,108.73,,16.7,26.56,16.7,15.54,,,,,,,,,27.22,,,43.4,92.95,,31.89,,214.05,37.95,,,,138.61,11.12,,249.83,1.12,,334.81,214.43,,15872.53,,276.49,,,35.74,,34.33,429.58,,,,,64.05,50.89
2014-02-10,,,,,292.04,30.66,28.38,29.54,32.65,,,,,,,52.04,481.48,16.14,102.63,363.3,261.97,20.41,,245.44,33.56,,,21.37,133.98,26.76,264.13,313.28,,,,80.23,,,190.5,,,1200.14,,,35.23,106.3,,,554723.56,324875.59,,25.56,200.31,50.83,81.02,73.66,319.44,,,39.56,52.86,29.5,26.98,20.72,18.6,,,,,128.19,1408.73,28.23,,,,104.51,19.59,,,,,,,,,,110.7,108.88,,16.7,26.56,16.7,15.54,,,,,,,,,27.29,,,43.47,93.28,,32.09,,213.83,38.1,,,,139.57,11.12,,249.92,1.12,,336.17,215.91,,15881.86,,276.49,,,35.77,,34.37,430.25,,,,,64.36,49.43
2014-02-17,,,,,292.11,30.68,28.39,29.59,32.63,,,,,,,52.0,487.53,16.14,102.63,363.29,261.94,20.41,,245.88,33.5,,,22.27,134.03,27.5,264.69,313.98,,,,80.46,,,190.58,,,1201.04,,,35.11,106.34,,,555730.65,325232.51,,26.51,200.86,50.8,81.0,73.47,321.69,,,39.71,53.11,29.97,26.97,20.76,18.63,,,,,131.29,1408.68,28.22,,,,104.75,19.66,,,,,,,,,,109.36,109.08,,16.75,26.63,16.78,15.61,,,,,,,,,27.39,,,43.56,93.85,,32.29,,213.95,38.29,,,,140.36,11.13,,250.47,1.12,,337.55,217.18,,15886.2,,276.49,,,35.78,,34.41,430.91,,,,,64.57,48.67
2014-02-24,,,,,291.54,30.72,28.52,29.61,32.69,,,,,,,52.11,491.51,16.13,103.09,354.9,253.48,20.39,,246.02,33.47,,,22.98,134.19,28.2,264.95,314.68,,,,80.54,,,190.8,,,1203.07,,,34.97,106.41,,,556726.01,325608.59,,27.58,201.74,50.77,81.02,73.15,323.37,,,39.84,53.42,30.42,26.95,20.78,18.67,,,,,134.57,1405.72,28.2,,,,104.96,19.7,,,,,,,,,,108.52,109.27,,16.75,26.63,16.78,15.61,,,,,,,,,27.42,,,43.62,94.51,,32.43,,214.34,38.51,,,,140.6,11.12,,250.98,1.12,,339.0,218.15,,15949.97,,276.46,,,35.82,,34.46,431.63,,,,,64.76,48.49
2014-03-03,,,,,292.02,30.73,28.56,29.63,32.7,,,,,,,52.04,496.54,16.13,103.09,354.89,253.42,20.39,,246.46,33.43,,,23.83,134.29,28.94,265.62,315.56,,,,80.66,,,190.89,,,1204.96,,,34.86,106.39,,,557000.73,325587.15,,28.44,201.8,50.71,81.12,73.05,324.4,,,40.05,53.67,30.95,26.89,20.82,18.7,,,,,139.15,1405.72,28.2,,,,105.15,19.74,,,,,,,,,,107.78,109.44,,16.79,26.69,16.92,15.71,,,,,,,,,27.47,,,43.82,95.16,,32.66,,214.57,38.7,,,,141.31,11.12,,251.7,1.12,,340.15,219.34,,15957.94,,276.46,,,35.87,,34.5,433.24,,,,,64.92,48.9
2014-03-11,,,,,292.74,30.87,28.6,29.77,32.83,,,,,,,52.09,502.07,16.13,103.09,354.91,253.42,20.39,,246.75,33.43,,,24.54,134.4,29.74,267.08,317.05,,,,80.7,,,190.93,,,1206.24,,,34.78,106.44,,,558211.63,325809.74,,29.15,201.89,50.73,81.19,73.0,325.98,,,40.44,54.47,31.34,26.92,20.84,18.72,,,,,141.06,1405.72,28.2,,,,105.33,19.74,,,,,,,,,,108.73,109.5,,16.79,26.69,16.92,15.71,,,,,,,,,27.56,,,44.06,95.66,,33.45,,214.89,38.91,,,,142.52,11.13,,252.72,1.12,,341.68,221.25,,15954.09,,276.46,,,35.9,,34.55,434.11,,,,,65.29,49.58
2014-03-17,,,,,292.67,31.01,28.62,29.92,32.98,,,,,,,52.09,508.73,16.13,103.09,354.91,253.4,20.39,,246.86,33.38,,,24.88,134.55,30.32,267.87,318.1,,,,80.91,,,191.21,,,1209.02,,,34.77,106.43,,,558785.9,326311.5,,29.52,202.07,50.7,81.22,72.87,327.61,,,40.72,55.09,31.74,26.97,20.87,18.74,,,,,138.51,1405.72,28.2,,,,105.47,19.75,,,,,,,,,,109.09,109.66,,16.79,26.69,16.92,15.71,,,,,,,,,27.73,,,44.31,95.82,,34.23,,215.11,39.3,,,,143.42,11.13,,253.82,1.12,,343.02,222.78,,15969.69,,276.46,,,35.9,,34.6,435.27,,,,,65.61,49.91
